 tiempo ave_magnetization ave_absmagnetization ave_energy
         578   1.00000000       58.7599983      -355.279999    
         579   3.79999995       58.7599983      -364.399994    
         580  -2.64000010       61.0400009      -371.119995    
         581  -7.96000004       58.9199982      -363.440002    
         582  -8.39999962       62.4000015      -363.760010    
         583  -12.8400002       66.2799988      -363.679993    
         584  -14.3199997       63.4399986      -359.359985    
         585  -16.7600002       63.6399994      -360.399994    
         586  -12.0400000       68.4400024      -359.200012    
         587  -14.8800001       65.9199982      -356.160004    
         588  -10.5600004       63.2799988      -360.000000    
         589  -8.07999992       69.3600006      -368.480011    
         590  -13.4399996       68.7200012      -361.679993    
         591  -9.11999989       67.7600021      -361.679993    
         592  -8.64000034       69.3600006      -363.040009    
         593  -6.96000004       64.6399994      -360.799988    
         594  -2.00000000       63.4399986      -368.000000    
         595   1.00000000       64.5199966      -358.079987    
         596  -2.07999992       64.8000031      -364.000000    
         597  -4.00000000       63.8400002      -362.160004    
         598  -8.64000034       62.1599998      -354.079987    
         599  -11.0799999       63.6399994      -344.720001    
         600  -7.67999983       66.9599991      -350.959991    
         601  -3.75999999       67.9199982      -355.600006    
         602  0.920000017       72.7600021      -356.399994    
         603   7.76000023       78.2399979      -356.959991    
         604   4.23999977       72.0000000      -357.119995    
         605   1.08000004       65.8000031      -358.079987    
         606  -2.96000004       66.0800018      -353.040009    
         607  -3.07999992       64.1200027      -359.200012    
         608  -1.63999999       59.4799995      -356.799988    
         609   1.84000003       56.4799995      -354.320007    
         610  0.920000017       52.2000008      -354.239990    
         611  -5.03999996       61.2799988      -353.200012    
         612  -6.36000013       60.5999985      -352.000000    
         613 -0.920000017       62.0400009      -352.880005    
         614  -1.55999994       68.1200027      -361.519989    
