 Temperature,Magnetization,Magnetization^2,Suceptibility,Cumulant,Average
   4.07959175     ,   1.9879150390625001E-004 ,   2.4188791662454605E-004 ,   5.9282500236755819E-005 ,   4.7132876199802443E-002 ,           2
   3.99591827     ,   9.6551513671875005E-004 ,   2.7021110504865648E-004 ,   6.7388488784110394E-005 ,   4.8850744491218179E-002 ,           2
   3.91224480     ,   2.9013671874999998E-004 ,   2.4781453311443330E-004 ,   6.3321791947251849E-005 ,   3.3498096801302668E-002 ,           2
   3.82857132     ,   5.9114990234374997E-004 ,   2.8124407082796095E-004 ,   7.3368001581290172E-005 ,   5.3319667809303972E-004 ,           2
   3.74489784     ,   6.0291748046874998E-004 ,   3.1948175877332687E-004 ,   8.5214136815248964E-005 ,  0.11395671959392517      ,           2
   3.66122437     ,   1.5953124999999999E-003 ,   3.0721696019172666E-004 ,   8.3215863569182020E-005 ,   1.6719044641342440E-002 ,           2
   3.57755113     ,   4.3492431640624999E-004 ,   3.4579654186964035E-004 ,   9.6604455435881715E-005 ,   3.9058402545508408E-002 ,           2
   3.49387765     ,   1.7368408203124999E-003 ,   3.4694398939609527E-004 ,   9.8437155179286677E-005 ,  -1.6331353583344255E-002 ,           2
   3.41020393     ,   8.9404296875000006E-005 ,   4.4812381863594054E-004 ,   1.3140440773761920E-004 ,  -4.3812295845617966E-002 ,           2
   3.32653046     ,   9.4096679687500002E-004 ,   4.8424614667892457E-004 ,   1.4530477114648577E-004 ,   2.2965947665488651E-003 ,           2
   3.24285722     ,   2.2857666015625001E-004 ,   4.7511962205171583E-004 ,   1.4649653774079008E-004 ,  -8.7023481301230721E-002 ,           2
   3.15918374     ,   2.2404174804687500E-003 ,   5.5649336725473403E-004 ,   1.7456215184742435E-004 ,  -2.4189959228750890E-002 ,           2
   3.07551026     ,   1.0267211914062500E-003 ,   5.8039721697568890E-004 ,   1.8837298928021224E-004 , -0.16095578808134836      ,           2
   2.99183679     ,   3.0363525390624999E-003 ,   7.2948988378047940E-004 ,   2.4074522591379597E-004 ,   6.0424767268107193E-002 ,           2
   2.90816331     ,   2.4788452148437499E-003 ,   8.4039694815874096E-004 ,   2.8686568908848270E-004 ,   7.7709353496613676E-002 ,           2
   2.82448983     ,   1.0399157714843749E-002 ,   9.0495365113019946E-004 ,   2.8210798719582647E-004 ,  0.15362693306701036      ,           2
   2.74081635     ,   5.4929687499999996E-003 ,   1.0098224371671678E-003 ,   3.5742991921391937E-004 ,  0.17730489562043639      ,           2
   2.65714288     ,   8.5917968750000003E-004 ,   1.6300838589668274E-003 ,   6.1319460461146643E-004 ,   3.0100229895378861E-002 ,           2
   2.57346940     ,   2.2318286132812500E-002 ,   3.5200880378484724E-003 ,   1.1742833349694508E-003 ,  0.13438725335572377      ,           2
   2.48979592     ,   5.4637438964843750E-002 ,   1.0686065326631069E-002 ,   3.0929505088007425E-003 ,  0.21211034482552549      ,           2
   2.40612245     ,   3.9573901367187497E-002 ,   6.9528783380985257E-003 ,   2.2387823944213549E-003 , -0.36924255204120837      ,           2
   2.32244897     ,  0.26083326416015623      ,   8.2563579581677912E-002 ,   6.2561493771942133E-003 ,  0.42924466068224976      ,           2
   2.23877549     ,  0.71252047119140627      ,  0.50872635854631665      ,   4.6495803629575093E-004 ,  0.66366794473590440      ,           2
   2.15510225     ,  0.82687933349609377      ,  0.68392213559299708      ,   8.9417300677592824E-005 ,  0.66601720989863744      ,           2
   2.07142854     ,  0.88156049804687497      ,  0.77700552375018594      ,  -6.9221779862825366E-005 ,  0.66661334937835759      ,           2
   1.98775530     ,  0.91575346679687497      ,  0.83839953123927113      ,  -1.0307139033624434E-004 ,  0.66669263444918125      ,           2
   1.90408158     ,  0.93764672851562503      ,  0.87894120488464833      ,  -1.2614091771128932E-004 ,  0.66673105380479636      ,           2
   1.82040811     ,  0.95361153564453127      ,  0.90911715055257081      ,  -1.4162228888258479E-004 ,  0.66674477688108102      ,           2
   1.73673487     ,  0.96589146728515629      ,  0.93267564447373152      ,  -1.5585689853041693E-004 ,  0.66675361394366972      ,           2
   1.65306115     ,  0.97525637207031246      ,  0.95084544958472250      ,  -1.6910545932824459E-004 ,  0.66675863542991975      ,           2
   1.56938791     ,  0.98216472167968749      ,  0.96436167578697207      ,  -1.8215046348499689E-004 ,  0.66676187954524491      ,           2
   1.48571444     ,  0.98756053466796878      ,  0.97498556052893404      ,  -1.9535995838174225E-004 ,  0.66676356715771201      ,           2
   1.40204072     ,  0.99158735351562499      ,  0.98295202955007555      ,  -2.0930212542149250E-004 ,  0.66676469106731662      ,           2
   1.31836748     ,  0.99451228027343752      ,  0.98875895435214045      ,  -2.2430867865002341E-004 ,  0.66676541525120792      ,           2
   1.23469377     ,  0.99669468994140620      ,  0.99310288778692479      ,  -2.4088335627960435E-004 ,  0.66676594753300011      ,           2
   1.15102053     ,  0.99812081298828126      ,  0.99594669734984631      ,  -2.5930030996504394E-004 ,  0.66676620319834057      ,           2
   1.06734705     ,  0.99907225341796879      ,  0.99784618426114324      ,  -2.8030554219577949E-004 ,  0.66676640893924488      ,           2
  0.983673573     ,  0.99967353515625001      ,  0.99904754606187340      ,  -3.0460391971340816E-004 ,  0.66676652540773895      ,           2
  0.900000095     ,   1.0000117309570313      ,  0.99972358138710260      ,  -3.3320071855670369E-004 ,  0.66676658815086731      ,           2
   5.00000000     ,   8.0268554687499996E-004 ,   1.8380503356456757E-004 ,   3.6632146441342618E-005 ,   6.5011577958821176E-003 ,           3
   4.91632652     ,   2.0716552734375001E-004 ,   1.7977275103330613E-004 ,   3.6557749980463369E-005 ,  -1.2982722609593100E-002 ,           3
   4.83265305     ,   1.2742309570312499E-003 ,   1.9539862126111983E-004 ,   4.0097013772187796E-005 ,   5.8650402575523231E-002 ,           3
   4.74897957     ,   6.7160644531250003E-004 ,   1.8523770272731781E-004 ,   3.8910812131345475E-005 ,   2.3947142440988167E-002 ,           3
   4.66530609     ,   6.5274658203124997E-004 ,   1.9403773695230483E-004 ,   4.1500312874907324E-005 ,  -6.5966137647462730E-002 ,           3
   4.58163261     ,   5.0787353515624998E-004 ,   2.0056514292955398E-004 ,   4.3719613256667689E-005 ,   6.0186633191961825E-002 ,           3
   4.49795914     ,   5.3826904296875005E-004 ,   2.0829730778932571E-004 ,   4.6244877313131315E-005 ,   2.7885794086294546E-002 ,           3
   4.41428566     ,   4.2767333984374998E-004 ,   2.1561620384454727E-004 ,   4.8803659165883023E-005 ,   2.1088145930798108E-002 ,           3
   4.33061218     ,   9.3264160156250001E-004 ,   2.3872331380844116E-004 ,   5.4923757509790459E-005 ,  -5.0945709850169774E-003 ,           3
   4.24693871     ,   1.2510131835937500E-003 ,   2.4645091444253921E-004 ,   5.7661741254854754E-005 ,   5.1786498256537472E-003 ,           3
   4.16326523     ,   5.4368896484375000E-004 ,   2.1933131664991380E-004 ,   5.2611520858444694E-005 ,  -6.7435210209974672E-002 ,           3
   4.07959175     ,   5.0148925781250001E-004 ,   2.6146373450756070E-004 ,   6.4029015496567699E-005 ,   4.6818954751468800E-002 ,           3
   3.99591827     ,   1.3800048828125001E-004 ,   2.6146623641252516E-004 ,   6.5428565433900898E-005 ,   7.9571811575249729E-003 ,           3
   3.91224480     ,   6.6778564453125004E-004 ,   2.7980695217847822E-004 ,   7.1406833146610255E-005 ,  -3.0176643592142005E-002 ,           3
   3.82857132     ,   1.0039672851562501E-003 ,   3.2387885898351669E-004 ,   8.4331960364453072E-005 ,   9.5858428086326164E-004 ,           3
   3.74489784     ,   1.3048828125000001E-003 ,   3.1041762232780458E-004 ,   8.2436131605962085E-005 ,   4.0622211957238474E-002 ,           3
   3.66122437     ,   1.7024902343750000E-003 ,   3.0509693920612334E-004 ,   8.2540277525320629E-005 ,  -5.8347269711149785E-002 ,           3
   3.57755113     ,   6.0888671875000003E-005 ,   3.4499066174030306E-004 ,   9.6431032787547375E-005 ,   6.7176602958821219E-002 ,           3
   3.49387765     ,   3.1442749023437499E-003 ,   3.5239592939615252E-004 ,   9.8031328535952468E-005 , -0.11981298640456828      ,           3
   3.41020393     ,   2.3983032226562498E-003 ,   3.3826215118169784E-004 ,   9.7504519165336230E-005 ,   7.0845966653328762E-002 ,           3
   3.32653046     ,   1.3089477539062499E-003 ,   4.6222070306539535E-004 ,   1.3843473929257941E-004 ,   3.9347803716587304E-003 ,           3
   3.24285722     ,   3.1875610351562501E-003 ,   4.8582953065633773E-004 ,   1.4668205639784232E-004 ,   5.1306196853396213E-002 ,           3
   3.15918374     ,   2.8636352539062500E-003 ,   6.0200308114290234E-004 ,   1.8796079597200181E-004 ,   4.6441328818355609E-002 ,           3
   3.07551026     ,   2.8792114257812501E-003 ,   6.3432135134935377E-004 ,   2.0355370026830678E-004 ,  -6.5825446499565787E-002 ,           3
   2.99183679     ,   1.2515991210937500E-003 ,   7.0643435865640637E-004 ,   2.3559702120580037E-004 ,   9.8164755949228466E-002 ,           3
   2.90816331     ,   5.5231201171874996E-003 ,   9.5319779515266423E-004 ,   3.1727686447834662E-004 ,   9.3743280188142597E-002 ,           3
   2.82448983     ,   2.1007324218749999E-003 ,   1.1065353572368621E-003 ,   3.9020223351325461E-004 , -0.11171704114350778      ,           3
   2.74081635     ,   3.8491943359374998E-003 ,   1.2724835336208344E-003 ,   4.5886594394514490E-004 , -0.21850817582767212      ,           3
   2.65714288     ,   3.0580566406250001E-003 ,   2.1373659133911132E-003 ,   8.0086555753124122E-004 ,   4.4244274705168896E-002 ,           3
   2.57346940     ,   1.1944580078124999E-002 ,   2.1542226791381835E-003 ,   7.8164898489168136E-004 ,  -1.5920702066649417E-002 ,           3
   2.48979592     ,   1.3661328125000000E-002 ,   3.9802957832813261E-003 ,   1.5236846725860502E-003 ,  0.19432140261804454      ,           3
   2.40612245     ,   1.9859374999999999E-002 ,   1.8384334695339202E-002 ,   7.4767348699977349E-003 ,  0.36952672421204935      ,           3
   2.32244897     ,   3.4737426757812501E-003 ,   2.1831434413790702E-003 ,   9.3482205618612539E-004 , -0.18308185824217160      ,           3
   2.23877549     ,  0.71383916015625004      ,  0.51115488973855971      ,   7.0955892474125145E-004 ,  0.66252757154198516      ,           3
   2.15510225     ,  0.83441093749999995      ,  0.69620790635049346      ,  -1.5640217722999253E-005 ,  0.66643373049320198      ,           3
   2.07142854     ,  0.88320185546874996      ,  0.77989575142562384      ,  -7.2300868232149285E-005 ,  0.66662312517790046      ,           3
   1.98775530     ,  0.91617044677734372      ,  0.83915251346379516      ,  -1.0855162862827316E-004 ,  0.66670958724273899      ,           3
   1.90408158     ,  0.93789770507812498      ,  0.87941434562802312      ,  -1.2486836274058227E-004 ,  0.66672719912386014      ,           3
   1.82040811     ,  0.95411124267578129      ,  0.91006816893070941      ,  -1.4287701185623371E-004 ,  0.66674771692677681      ,           3
   1.73673487     ,  0.96605432128906255      ,  0.93298925515711306      ,  -1.5644099669771022E-004 ,  0.66675492910017153      ,           3
   1.65306115     ,  0.97527822265624997      ,  0.95088776660859586      ,  -1.6928893705241022E-004 ,  0.66675904238981221      ,           3
   1.56938791     ,  0.98230050048828121      ,  0.96462835847288375      ,  -1.8218236221412005E-004 ,  0.66676184014734607      ,           3
   1.48571444     ,  0.98757872314453121      ,  0.97502170560210943      ,  -1.9521168016889751E-004 ,  0.66676325172158979      ,           3
   1.40204072     ,  0.99156599121093747      ,  0.98290969319641586      ,  -2.0928188896749040E-004 ,  0.66676466979113314      ,           3
   1.31836748     ,  0.99452431640625005      ,  0.98878285675346855      ,  -2.2433743187680371E-004 ,  0.66676545695062717      ,           3
   1.23469377     ,  0.99661302490234371      ,  0.99294020643681291      ,  -2.4080058086603317E-004 ,  0.66676587574288360      ,           3
   1.15102053     ,  0.99812956542968745      ,  0.99596413204669954      ,  -2.5933277473542596E-004 ,  0.66676624618809677      ,           3
   1.06734705     ,  0.99909157714843755      ,  0.99788478116095070      ,  -2.8031967020318322E-004 ,  0.66676641361233457      ,           3
  0.983673573     ,  0.99965407714843746      ,  0.99900865611732004      ,  -3.0459071640405352E-004 ,  0.66676652364224265      ,           3
  0.900000095     ,   1.0000146484375001      ,  0.99972941284775729      ,  -3.3320469327245521E-004 ,  0.66676659058733401      ,           3
   5.00000000     ,   7.6611328125000006E-005 ,   1.7965180277824402E-004 ,   3.5929187231915994E-005 ,   6.3548020986188947E-002 ,           4
   4.91632652     ,   9.3587646484374995E-004 ,   1.7398582249879838E-004 ,   3.5211241404872592E-005 ,   2.1581613045169701E-002 ,           4
   4.83265305     ,   6.9897460937500000E-004 ,   1.8442251980304718E-004 ,   3.8060657698838714E-005 ,  -1.7600119980550666E-002 ,           4
