Temperatura MagneticField Magnetization Magnetization2
0.4 0.12475 0.3020924 0.0913155
0.4 0.127225 0.3077322 0.09475403
0.4 0.1297 0.3133843 0.09826463
0.4 0.132175 0.3188636 0.1017292
0.4 0.13465 0.3244416 0.1053169
0.4 0.137125 0.3300315 0.1089757
0.4 0.1396 0.3355173 0.112626
0.4 0.142075 0.3409751 0.1163181
0.4 0.14455 0.3463856 0.1200366
0.4 0.147025 0.3519133 0.1238963
0.4 0.1495 0.3572139 0.127655
0.4 0.151975 0.3626461 0.1315655
0.4 0.15445 0.3679827 0.1354641
0.4 0.156925 0.3733543 0.1394458
0.4 0.1594 0.3785938 0.1433857
0.4 0.161875 0.3839297 0.1474537
0.4 0.16435 0.3891995 0.1515276
0.4 0.166825 0.3944464 0.1556396
0.4 0.1693 0.3996639 0.1597828
0.4 0.171775 0.4047998 0.1639139
0.4 0.17425 0.410008 0.1681568
0.4 0.176725 0.415161 0.1724089
0.4 0.1792 0.4202658 0.1766737
0.4 0.181675 0.4252842 0.1809167
0.4 0.18415 0.4303622 0.1852614
0.4 0.186625 0.4354363 0.1896547
0.4 0.1891 0.4404346 0.1940319
0.4 0.191575 0.4454416 0.1984672
0.4 0.19405 0.4503465 0.2028605
0.4 0.196525 0.4552637 0.207313
0.4 0.199 0.4601486 0.2117847
0.5 0.002475 0.005008877 8.651217e-05
0.5 0.00495 0.009869634 0.0001586274
0.5 0.007425 0.01489514 0.0002830137
0.5 0.0099 0.01983304 0.0004539752
0.5 0.012375 0.02475615 0.0006739063
0.5 0.01485 0.02970655 0.0009433753
0.5 0.017325 0.03463595 0.001260346
0.5 0.0198 0.03956948 0.001626561
0.5 0.022275 0.04451752 0.002043166
0.5 0.02475 0.04940542 0.002501398
0.5 0.027225 0.05438003 0.003018294
0.5 0.0297 0.05932684 0.003580901
0.5 0.032175 0.0642839 0.004193213
0.5 0.03465 0.06922279 0.004852
0.5 0.037125 0.07406564 0.005546552
0.5 0.0396 0.07901624 0.006303478
0.5 0.042075 0.08392053 0.007103408
0.5 0.04455 0.08888317 0.007960951
0.5 0.047025 0.09383514 0.008865636
0.5 0.0495 0.09871885 0.009805489
0.5 0.051975 0.1035692 0.01078707
