 Tiempo,AverMagnetization,AverMagnetization^2,Suceptibility,Cumulant
        2261 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2262 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2263 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2264 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2265 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2266 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2267 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2268 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2269 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2270 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2271 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2272 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2273 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2274 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2275 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2276 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2277 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2278 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2279 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2280 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2281 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2282 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2283 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2284 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2285 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2286 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2287 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2288 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2289 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2290 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2291 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2292 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2293 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2294 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2295 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2296 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2297 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2298 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
        2299 ,   3.6250000431512792E-003 ,   4.1828126564389116E-004 ,   4.5015628849961727E-004 ,   1.8308605426566982E-002
